"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
	"Sep 29, 1998"	"1998/09/29"	"Georgia"	"13"	82.92
"Total"	"Sep 29, 1998"	"1998/09/29"			82.92
	"Sep 30, 1998"	"1998/09/30"	"Georgia"	"13"	79.40
"Total"	"Sep 30, 1998"	"1998/09/30"			79.40
	"Oct 01, 1998"	"1998/10/01"	"Georgia"	"13"	85.30
"Total"	"Oct 01, 1998"	"1998/10/01"			85.30
	"Oct 02, 1998"	"1998/10/02"	"Georgia"	"13"	82.40
"Total"	"Oct 02, 1998"	"1998/10/02"			82.40
	"Oct 03, 1998"	"1998/10/03"	"Georgia"	"13"	84.44
"Total"	"Oct 03, 1998"	"1998/10/03"			84.44
	"Oct 04, 1998"	"1998/10/04"	"Georgia"	"13"	82.45
"Total"	"Oct 04, 1998"	"1998/10/04"			82.45
	"Oct 05, 1998"	"1998/10/05"	"Georgia"	"13"	82.37
"Total"	"Oct 05, 1998"	"1998/10/05"			82.37
	"Oct 06, 1998"	"1998/10/06"	"Georgia"	"13"	82.42
"Total"	"Oct 06, 1998"	"1998/10/06"			82.42
	"Oct 07, 1998"	"1998/10/07"	"Georgia"	"13"	81.07
"Total"	"Oct 07, 1998"	"1998/10/07"			81.07
	"Oct 08, 1998"	"1998/10/08"	"Georgia"	"13"	79.08
"Total"	"Oct 08, 1998"	"1998/10/08"			79.08
	"Oct 09, 1998"	"1998/10/09"	"Georgia"	"13"	74.52
"Total"	"Oct 09, 1998"	"1998/10/09"			74.52
	"Oct 10, 1998"	"1998/10/10"	"Georgia"	"13"	73.97
"Total"	"Oct 10, 1998"	"1998/10/10"			73.97
	"Oct 11, 1998"	"1998/10/11"	"Georgia"	"13"	75.24
"Total"	"Oct 11, 1998"	"1998/10/11"			75.24
	"Oct 12, 1998"	"1998/10/12"	"Georgia"	"13"	75.42
"Total"	"Oct 12, 1998"	"1998/10/12"			75.42
	"Oct 13, 1998"	"1998/10/13"	"Georgia"	"13"	76.79
"Total"	"Oct 13, 1998"	"1998/10/13"			76.79
	"Oct 14, 1998"	"1998/10/14"	"Georgia"	"13"	77.82
"Total"	"Oct 14, 1998"	"1998/10/14"			77.82
	"Oct 15, 1998"	"1998/10/15"	"Georgia"	"13"	79.86
"Total"	"Oct 15, 1998"	"1998/10/15"			79.86
	"Oct 16, 1998"	"1998/10/16"	"Georgia"	"13"	78.58
"Total"	"Oct 16, 1998"	"1998/10/16"			78.58
	"Oct 17, 1998"	"1998/10/17"	"Georgia"	"13"	78.75
"Total"	"Oct 17, 1998"	"1998/10/17"			78.75
	"Oct 18, 1998"	"1998/10/18"	"Georgia"	"13"	81.13
"Total"	"Oct 18, 1998"	"1998/10/18"			81.13
	"Oct 19, 1998"	"1998/10/19"	"Georgia"	"13"	83.68
"Total"	"Oct 19, 1998"	"1998/10/19"			83.68
	"Oct 20, 1998"	"1998/10/20"	"Georgia"	"13"	81.19
"Total"	"Oct 20, 1998"	"1998/10/20"			81.19
	"Oct 21, 1998"	"1998/10/21"	"Georgia"	"13"	75.98
"Total"	"Oct 21, 1998"	"1998/10/21"			75.98
	"Oct 22, 1998"	"1998/10/22"	"Georgia"	"13"	64.59
"Total"	"Oct 22, 1998"	"1998/10/22"			64.59
	"Oct 23, 1998"	"1998/10/23"	"Georgia"	"13"	63.57
"Total"	"Oct 23, 1998"	"1998/10/23"			63.57
	"Oct 24, 1998"	"1998/10/24"	"Georgia"	"13"	71.64
"Total"	"Oct 24, 1998"	"1998/10/24"			71.64
	"Oct 25, 1998"	"1998/10/25"	"Georgia"	"13"	74.45
"Total"	"Oct 25, 1998"	"1998/10/25"			74.45
	"Oct 26, 1998"	"1998/10/26"	"Georgia"	"13"	75.74
"Total"	"Oct 26, 1998"	"1998/10/26"			75.74
	"Oct 27, 1998"	"1998/10/27"	"Georgia"	"13"	76.22
"Total"	"Oct 27, 1998"	"1998/10/27"			76.22
	"Oct 28, 1998"	"1998/10/28"	"Georgia"	"13"	78.24
"Total"	"Oct 28, 1998"	"1998/10/28"			78.24
	"Oct 29, 1998"	"1998/10/29"	"Georgia"	"13"	79.55
"Total"	"Oct 29, 1998"	"1998/10/29"			79.55
	"Oct 30, 1998"	"1998/10/30"	"Georgia"	"13"	81.19
"Total"	"Oct 30, 1998"	"1998/10/30"			81.19
	"Oct 31, 1998"	"1998/10/31"	"Georgia"	"13"	80.10
"Total"	"Oct 31, 1998"	"1998/10/31"			80.10
	"Nov 01, 1998"	"1998/11/01"	"Georgia"	"13"	79.99
"Total"	"Nov 01, 1998"	"1998/11/01"			79.99
	"Nov 02, 1998"	"1998/11/02"	"Georgia"	"13"	78.40
"Total"	"Nov 02, 1998"	"1998/11/02"			78.40
	"Nov 03, 1998"	"1998/11/03"	"Georgia"	"13"	77.93
"Total"	"Nov 03, 1998"	"1998/11/03"			77.93
	"Nov 04, 1998"	"1998/11/04"	"Georgia"	"13"	68.72
"Total"	"Nov 04, 1998"	"1998/11/04"			68.72
	"Nov 05, 1998"	"1998/11/05"	"Georgia"	"13"	61.94
"Total"	"Nov 05, 1998"	"1998/11/05"			61.94
	"Nov 06, 1998"	"1998/11/06"	"Georgia"	"13"	57.90
"Total"	"Nov 06, 1998"	"1998/11/06"			57.90
	"Nov 07, 1998"	"1998/11/07"	"Georgia"	"13"	61.80
"Total"	"Nov 07, 1998"	"1998/11/07"			61.80
	"Nov 08, 1998"	"1998/11/08"	"Georgia"	"13"	59.16
"Total"	"Nov 08, 1998"	"1998/11/08"			59.16
	"Nov 09, 1998"	"1998/11/09"	"Georgia"	"13"	72.53
"Total"	"Nov 09, 1998"	"1998/11/09"			72.53
	"Nov 10, 1998"	"1998/11/10"	"Georgia"	"13"	78.26
"Total"	"Nov 10, 1998"	"1998/11/10"			78.26
	"Nov 11, 1998"	"1998/11/11"	"Georgia"	"13"	68.78
"Total"	"Nov 11, 1998"	"1998/11/11"			68.78
	"Nov 12, 1998"	"1998/11/12"	"Georgia"	"13"	68.63
"Total"	"Nov 12, 1998"	"1998/11/12"			68.63
	"Nov 13, 1998"	"1998/11/13"	"Georgia"	"13"	70.21
"Total"	"Nov 13, 1998"	"1998/11/13"			70.21
	"Nov 14, 1998"	"1998/11/14"	"Georgia"	"13"	68.12
"Total"	"Nov 14, 1998"	"1998/11/14"			68.12
	"Nov 15, 1998"	"1998/11/15"	"Georgia"	"13"	73.33
"Total"	"Nov 15, 1998"	"1998/11/15"			73.33
	"Nov 16, 1998"	"1998/11/16"	"Georgia"	"13"	73.22
"Total"	"Nov 16, 1998"	"1998/11/16"			73.22
	"Nov 17, 1998"	"1998/11/17"	"Georgia"	"13"	74.98
"Total"	"Nov 17, 1998"	"1998/11/17"			74.98
	"Nov 18, 1998"	"1998/11/18"	"Georgia"	"13"	70.89
"Total"	"Nov 18, 1998"	"1998/11/18"			70.89
	"Nov 19, 1998"	"1998/11/19"	"Georgia"	"13"	73.53
"Total"	"Nov 19, 1998"	"1998/11/19"			73.53
	"Nov 20, 1998"	"1998/11/20"	"Georgia"	"13"	74.66
"Total"	"Nov 20, 1998"	"1998/11/20"			74.66
	"Nov 21, 1998"	"1998/11/21"	"Georgia"	"13"	63.70
"Total"	"Nov 21, 1998"	"1998/11/21"			63.70
	"Nov 22, 1998"	"1998/11/22"	"Georgia"	"13"	64.90
"Total"	"Nov 22, 1998"	"1998/11/22"			64.90
	"Nov 23, 1998"	"1998/11/23"	"Georgia"	"13"	69.30
"Total"	"Nov 23, 1998"	"1998/11/23"			69.30
	"Nov 24, 1998"	"1998/11/24"	"Georgia"	"13"	74.29
"Total"	"Nov 24, 1998"	"1998/11/24"			74.29
	"Nov 25, 1998"	"1998/11/25"	"Georgia"	"13"	74.76
"Total"	"Nov 25, 1998"	"1998/11/25"			74.76
	"Nov 26, 1998"	"1998/11/26"	"Georgia"	"13"	71.68
"Total"	"Nov 26, 1998"	"1998/11/26"			71.68
	"Nov 27, 1998"	"1998/11/27"	"Georgia"	"13"	69.37
"Total"	"Nov 27, 1998"	"1998/11/27"			69.37
	"Nov 28, 1998"	"1998/11/28"	"Georgia"	"13"	70.64
"Total"	"Nov 28, 1998"	"1998/11/28"			70.64
	"Nov 29, 1998"	"1998/11/29"	"Georgia"	"13"	70.79
"Total"	"Nov 29, 1998"	"1998/11/29"			70.79
	"Nov 30, 1998"	"1998/11/30"	"Georgia"	"13"	74.24
"Total"	"Nov 30, 1998"	"1998/11/30"			74.24
	"Dec 01, 1998"	"1998/12/01"	"Georgia"	"13"	73.43
"Total"	"Dec 01, 1998"	"1998/12/01"			73.43
	"Dec 02, 1998"	"1998/12/02"	"Georgia"	"13"	73.52
"Total"	"Dec 02, 1998"	"1998/12/02"			73.52
	"Dec 03, 1998"	"1998/12/03"	"Georgia"	"13"	76.08
"Total"	"Dec 03, 1998"	"1998/12/03"			76.08
	"Dec 04, 1998"	"1998/12/04"	"Georgia"	"13"	76.62
"Total"	"Dec 04, 1998"	"1998/12/04"			76.62
	"Dec 05, 1998"	"1998/12/05"	"Georgia"	"13"	78.76
"Total"	"Dec 05, 1998"	"1998/12/05"			78.76
	"Dec 06, 1998"	"1998/12/06"	"Georgia"	"13"	78.68
"Total"	"Dec 06, 1998"	"1998/12/06"			78.68
	"Dec 07, 1998"	"1998/12/07"	"Georgia"	"13"	78.40
"Total"	"Dec 07, 1998"	"1998/12/07"			78.40
	"Dec 08, 1998"	"1998/12/08"	"Georgia"	"13"	74.12
"Total"	"Dec 08, 1998"	"1998/12/08"			74.12
	"Dec 09, 1998"	"1998/12/09"	"Georgia"	"13"	67.86
"Total"	"Dec 09, 1998"	"1998/12/09"			67.86
	"Dec 10, 1998"	"1998/12/10"	"Georgia"	"13"	63.22
"Total"	"Dec 10, 1998"	"1998/12/10"			63.22
	"Dec 11, 1998"	"1998/12/11"	"Georgia"	"13"	61.11
"Total"	"Dec 11, 1998"	"1998/12/11"			61.11
	"Dec 12, 1998"	"1998/12/12"	"Georgia"	"13"	57.21
"Total"	"Dec 12, 1998"	"1998/12/12"			57.21
	"Dec 13, 1998"	"1998/12/13"	"Georgia"	"13"	63.01
"Total"	"Dec 13, 1998"	"1998/12/13"			63.01
	"Dec 14, 1998"	"1998/12/14"	"Georgia"	"13"	54.80
"Total"	"Dec 14, 1998"	"1998/12/14"			54.80
	"Dec 15, 1998"	"1998/12/15"	"Georgia"	"13"	49.94
"Total"	"Dec 15, 1998"	"1998/12/15"			49.94
	"Dec 16, 1998"	"1998/12/16"	"Georgia"	"13"	59.93
"Total"	"Dec 16, 1998"	"1998/12/16"			59.93
	"Dec 17, 1998"	"1998/12/17"	"Georgia"	"13"	52.42
"Total"	"Dec 17, 1998"	"1998/12/17"			52.42
	"Dec 18, 1998"	"1998/12/18"	"Georgia"	"13"	52.77
"Total"	"Dec 18, 1998"	"1998/12/18"			52.77
	"Dec 19, 1998"	"1998/12/19"	"Georgia"	"13"	63.27
"Total"	"Dec 19, 1998"	"1998/12/19"			63.27
	"Dec 20, 1998"	"1998/12/20"	"Georgia"	"13"	70.64
"Total"	"Dec 20, 1998"	"1998/12/20"			70.64
	"Dec 21, 1998"	"1998/12/21"	"Georgia"	"13"	70.03
"Total"	"Dec 21, 1998"	"1998/12/21"			70.03
	"Dec 22, 1998"	"1998/12/22"	"Georgia"	"13"	66.09
"Total"	"Dec 22, 1998"	"1998/12/22"			66.09
	"Dec 23, 1998"	"1998/12/23"	"Georgia"	"13"	54.13
"Total"	"Dec 23, 1998"	"1998/12/23"			54.13
	"Dec 24, 1998"	"1998/12/24"	"Georgia"	"13"	50.38
"Total"	"Dec 24, 1998"	"1998/12/24"			50.38
	"Dec 25, 1998"	"1998/12/25"	"Georgia"	"13"	42.81
"Total"	"Dec 25, 1998"	"1998/12/25"			42.81
	"Dec 26, 1998"	"1998/12/26"	"Georgia"	"13"	49.96
"Total"	"Dec 26, 1998"	"1998/12/26"			49.96
	"Dec 27, 1998"	"1998/12/27"	"Georgia"	"13"	56.36
"Total"	"Dec 27, 1998"	"1998/12/27"			56.36
	"Dec 28, 1998"	"1998/12/28"	"Georgia"	"13"	54.49
"Total"	"Dec 28, 1998"	"1998/12/28"			54.49
	"Dec 29, 1998"	"1998/12/29"	"Georgia"	"13"	59.94
"Total"	"Dec 29, 1998"	"1998/12/29"			59.94
	"Dec 30, 1998"	"1998/12/30"	"Georgia"	"13"	45.91
"Total"	"Dec 30, 1998"	"1998/12/30"			45.91
	"Dec 31, 1998"	"1998/12/31"	"Georgia"	"13"	53.17
"Total"	"Dec 31, 1998"	"1998/12/31"			53.17
	"Jan 01, 1999"	"1999/01/01"	"Georgia"	"13"	55.85
"Total"	"Jan 01, 1999"	"1999/01/01"			55.85
	"Jan 02, 1999"	"1999/01/02"	"Georgia"	"13"	57.81
"Total"	"Jan 02, 1999"	"1999/01/02"			57.81
	"Jan 03, 1999"	"1999/01/03"	"Georgia"	"13"	54.44
"Total"	"Jan 03, 1999"	"1999/01/03"			54.44
	"Jan 04, 1999"	"1999/01/04"	"Georgia"	"13"	32.59
"Total"	"Jan 04, 1999"	"1999/01/04"			32.59
	"Jan 05, 1999"	"1999/01/05"	"Georgia"	"13"	29.71
"Total"	"Jan 05, 1999"	"1999/01/05"			29.71
	"Jan 06, 1999"	"1999/01/06"	"Georgia"	"13"	40.87
"Total"	"Jan 06, 1999"	"1999/01/06"			40.87
	"Jan 07, 1999"	"1999/01/07"	"Georgia"	"13"	53.44
"Total"	"Jan 07, 1999"	"1999/01/07"			53.44
	"Jan 08, 1999"	"1999/01/08"	"Georgia"	"13"	63.64
"Total"	"Jan 08, 1999"	"1999/01/08"			63.64
	"Jan 09, 1999"	"1999/01/09"	"Georgia"	"13"	60.47
"Total"	"Jan 09, 1999"	"1999/01/09"			60.47
	"Jan 10, 1999"	"1999/01/10"	"Georgia"	"13"	43.47
"Total"	"Jan 10, 1999"	"1999/01/10"			43.47
	"Jan 11, 1999"	"1999/01/11"	"Georgia"	"13"	52.41
"Total"	"Jan 11, 1999"	"1999/01/11"			52.41
	"Jan 12, 1999"	"1999/01/12"	"Georgia"	"13"	59.14
"Total"	"Jan 12, 1999"	"1999/01/12"			59.14
	"Jan 13, 1999"	"1999/01/13"	"Georgia"	"13"	67.46
"Total"	"Jan 13, 1999"	"1999/01/13"			67.46
	"Jan 14, 1999"	"1999/01/14"	"Georgia"	"13"	61.61
"Total"	"Jan 14, 1999"	"1999/01/14"			61.61
	"Jan 15, 1999"	"1999/01/15"	"Georgia"	"13"	56.56
"Total"	"Jan 15, 1999"	"1999/01/15"			56.56
	"Jan 16, 1999"	"1999/01/16"	"Georgia"	"13"	60.83
"Total"	"Jan 16, 1999"	"1999/01/16"			60.83
	"Jan 17, 1999"	"1999/01/17"	"Georgia"	"13"	64.17
"Total"	"Jan 17, 1999"	"1999/01/17"			64.17
	"Jan 18, 1999"	"1999/01/18"	"Georgia"	"13"	67.84
"Total"	"Jan 18, 1999"	"1999/01/18"			67.84
	"Jan 19, 1999"	"1999/01/19"	"Georgia"	"13"	62.59
"Total"	"Jan 19, 1999"	"1999/01/19"			62.59
	"Jan 20, 1999"	"1999/01/20"	"Georgia"	"13"	70.52
"Total"	"Jan 20, 1999"	"1999/01/20"			70.52
	"Jan 21, 1999"	"1999/01/21"	"Georgia"	"13"	75.10
"Total"	"Jan 21, 1999"	"1999/01/21"			75.10
	"Jan 22, 1999"	"1999/01/22"	"Georgia"	"13"	76.19
"Total"	"Jan 22, 1999"	"1999/01/22"			76.19
	"Jan 23, 1999"	"1999/01/23"	"Georgia"	"13"	68.49
"Total"	"Jan 23, 1999"	"1999/01/23"			68.49
	"Jan 24, 1999"	"1999/01/24"	"Georgia"	"13"	60.91
"Total"	"Jan 24, 1999"	"1999/01/24"			60.91
	"Jan 25, 1999"	"1999/01/25"	"Georgia"	"13"	63.66
"Total"	"Jan 25, 1999"	"1999/01/25"			63.66
	"Jan 26, 1999"	"1999/01/26"	"Georgia"	"13"	65.38
"Total"	"Jan 26, 1999"	"1999/01/26"			65.38
	"Jan 27, 1999"	"1999/01/27"	"Georgia"	"13"	70.79
"Total"	"Jan 27, 1999"	"1999/01/27"			70.79
	"Jan 28, 1999"	"1999/01/28"	"Georgia"	"13"	73.58
"Total"	"Jan 28, 1999"	"1999/01/28"			73.58
	"Jan 29, 1999"	"1999/01/29"	"Georgia"	"13"	71.87
"Total"	"Jan 29, 1999"	"1999/01/29"			71.87
	"Jan 30, 1999"	"1999/01/30"	"Georgia"	"13"	63.64
"Total"	"Jan 30, 1999"	"1999/01/30"			63.64
	"Jan 31, 1999"	"1999/01/31"	"Georgia"	"13"	53.27
"Total"	"Jan 31, 1999"	"1999/01/31"			53.27
	"Feb 01, 1999"	"1999/02/01"	"Georgia"	"13"	53.81
"Total"	"Feb 01, 1999"	"1999/02/01"			53.81
	"Feb 02, 1999"	"1999/02/02"	"Georgia"	"13"	65.03
"Total"	"Feb 02, 1999"	"1999/02/02"			65.03
	"Feb 03, 1999"	"1999/02/03"	"Georgia"	"13"	67.60
"Total"	"Feb 03, 1999"	"1999/02/03"			67.60
	"Feb 04, 1999"	"1999/02/04"	"Georgia"	"13"	66.96
"Total"	"Feb 04, 1999"	"1999/02/04"			66.96
	"Feb 05, 1999"	"1999/02/05"	"Georgia"	"13"	63.19
"Total"	"Feb 05, 1999"	"1999/02/05"			63.19
	"Feb 06, 1999"	"1999/02/06"	"Georgia"	"13"	64.87
"Total"	"Feb 06, 1999"	"1999/02/06"			64.87
	"Feb 07, 1999"	"1999/02/07"	"Georgia"	"13"	72.48
"Total"	"Feb 07, 1999"	"1999/02/07"			72.48
	"Feb 08, 1999"	"1999/02/08"	"Georgia"	"13"	72.51
"Total"	"Feb 08, 1999"	"1999/02/08"			72.51
	"Feb 09, 1999"	"1999/02/09"	"Georgia"	"13"	74.41
"Total"	"Feb 09, 1999"	"1999/02/09"			74.41
	"Feb 10, 1999"	"1999/02/10"	"Georgia"	"13"	74.52
"Total"	"Feb 10, 1999"	"1999/02/10"			74.52
	"Feb 11, 1999"	"1999/02/11"	"Georgia"	"13"	76.08
"Total"	"Feb 11, 1999"	"1999/02/11"			76.08
	"Feb 12, 1999"	"1999/02/12"	"Georgia"	"13"	69.07
"Total"	"Feb 12, 1999"	"1999/02/12"			69.07
	"Feb 13, 1999"	"1999/02/13"	"Georgia"	"13"	45.55
"Total"	"Feb 13, 1999"	"1999/02/13"			45.55
	"Feb 14, 1999"	"1999/02/14"	"Georgia"	"13"	47.61
"Total"	"Feb 14, 1999"	"1999/02/14"			47.61
	"Feb 15, 1999"	"1999/02/15"	"Georgia"	"13"	56.43
"Total"	"Feb 15, 1999"	"1999/02/15"			56.43
	"Feb 16, 1999"	"1999/02/16"	"Georgia"	"13"	63.80
"Total"	"Feb 16, 1999"	"1999/02/16"			63.80
	"Feb 17, 1999"	"1999/02/17"	"Georgia"	"13"	64.78
"Total"	"Feb 17, 1999"	"1999/02/17"			64.78
	"Feb 18, 1999"	"1999/02/18"	"Georgia"	"13"	66.09
"Total"	"Feb 18, 1999"	"1999/02/18"			66.09
	"Feb 19, 1999"	"1999/02/19"	"Georgia"	"13"	61.02
"Total"	"Feb 19, 1999"	"1999/02/19"			61.02
	"Feb 20, 1999"	"1999/02/20"	"Georgia"	"13"	57.16
"Total"	"Feb 20, 1999"	"1999/02/20"			57.16
	"Feb 21, 1999"	"1999/02/21"	"Georgia"	"13"	49.40
"Total"	"Feb 21, 1999"	"1999/02/21"			49.40
	"Feb 22, 1999"	"1999/02/22"	"Georgia"	"13"	44.05
"Total"	"Feb 22, 1999"	"1999/02/22"			44.05
	"Feb 23, 1999"	"1999/02/23"	"Georgia"	"13"	48.50
"Total"	"Feb 23, 1999"	"1999/02/23"			48.50
	"Feb 24, 1999"	"1999/02/24"	"Georgia"	"13"	53.86
"Total"	"Feb 24, 1999"	"1999/02/24"			53.86
	"Feb 25, 1999"	"1999/02/25"	"Georgia"	"13"	60.84
"Total"	"Feb 25, 1999"	"1999/02/25"			60.84
	"Feb 26, 1999"	"1999/02/26"	"Georgia"	"13"	65.54
"Total"	"Feb 26, 1999"	"1999/02/26"			65.54
	"Feb 27, 1999"	"1999/02/27"	"Georgia"	"13"	66.13
"Total"	"Feb 27, 1999"	"1999/02/27"			66.13
	"Feb 28, 1999"	"1999/02/28"	"Georgia"	"13"	64.45
"Total"	"Feb 28, 1999"	"1999/02/28"			64.45
	"Mar 01, 1999"	"1999/03/01"	"Georgia"	"13"	60.67
"Total"	"Mar 01, 1999"	"1999/03/01"			60.67
	"Mar 02, 1999"	"1999/03/02"	"Georgia"	"13"	67.98
"Total"	"Mar 02, 1999"	"1999/03/02"			67.98
	"Mar 03, 1999"	"1999/03/03"	"Georgia"	"13"	59.99
"Total"	"Mar 03, 1999"	"1999/03/03"			59.99
	"Mar 04, 1999"	"1999/03/04"	"Georgia"	"13"	52.09
"Total"	"Mar 04, 1999"	"1999/03/04"			52.09
	"Mar 05, 1999"	"1999/03/05"	"Georgia"	"13"	61.35
"Total"	"Mar 05, 1999"	"1999/03/05"			61.35
	"Mar 06, 1999"	"1999/03/06"	"Georgia"	"13"	61.36
"Total"	"Mar 06, 1999"	"1999/03/06"			61.36
	"Mar 07, 1999"	"1999/03/07"	"Georgia"	"13"	57.51
"Total"	"Mar 07, 1999"	"1999/03/07"			57.51
	"Mar 08, 1999"	"1999/03/08"	"Georgia"	"13"	53.42
"Total"	"Mar 08, 1999"	"1999/03/08"			53.42
	"Mar 09, 1999"	"1999/03/09"	"Georgia"	"13"	58.41
"Total"	"Mar 09, 1999"	"1999/03/09"			58.41
	"Mar 10, 1999"	"1999/03/10"	"Georgia"	"13"	58.08
"Total"	"Mar 10, 1999"	"1999/03/10"			58.08
	"Mar 11, 1999"	"1999/03/11"	"Georgia"	"13"	53.56
"Total"	"Mar 11, 1999"	"1999/03/11"			53.56
	"Mar 12, 1999"	"1999/03/12"	"Georgia"	"13"	59.13
"Total"	"Mar 12, 1999"	"1999/03/12"			59.13
	"Mar 13, 1999"	"1999/03/13"	"Georgia"	"13"	56.17
"Total"	"Mar 13, 1999"	"1999/03/13"			56.17
	"Mar 14, 1999"	"1999/03/14"	"Georgia"	"13"	63.21
"Total"	"Mar 14, 1999"	"1999/03/14"			63.21
	"Mar 15, 1999"	"1999/03/15"	"Georgia"	"13"	55.47
"Total"	"Mar 15, 1999"	"1999/03/15"			55.47
	"Mar 16, 1999"	"1999/03/16"	"Georgia"	"13"	63.84
"Total"	"Mar 16, 1999"	"1999/03/16"			63.84
	"Mar 17, 1999"	"1999/03/17"	"Georgia"	"13"	69.71
"Total"	"Mar 17, 1999"	"1999/03/17"			69.71
	"Mar 18, 1999"	"1999/03/18"	"Georgia"	"13"	71.11
"Total"	"Mar 18, 1999"	"1999/03/18"			71.11
	"Mar 19, 1999"	"1999/03/19"	"Georgia"	"13"	66.75
"Total"	"Mar 19, 1999"	"1999/03/19"			66.75
	"Mar 20, 1999"	"1999/03/20"	"Georgia"	"13"	70.82
"Total"	"Mar 20, 1999"	"1999/03/20"			70.82
	"Mar 21, 1999"	"1999/03/21"	"Georgia"	"13"	62.30
"Total"	"Mar 21, 1999"	"1999/03/21"			62.30
	"Mar 22, 1999"	"1999/03/22"	"Georgia"	"13"	62.46
"Total"	"Mar 22, 1999"	"1999/03/22"			62.46
	"Mar 23, 1999"	"1999/03/23"	"Georgia"	"13"	68.72
"Total"	"Mar 23, 1999"	"1999/03/23"			68.72
	"Mar 24, 1999"	"1999/03/24"	"Georgia"	"13"	71.36
"Total"	"Mar 24, 1999"	"1999/03/24"			71.36
	"Mar 25, 1999"	"1999/03/25"	"Georgia"	"13"	64.81
"Total"	"Mar 25, 1999"	"1999/03/25"			64.81
	"Mar 26, 1999"	"1999/03/26"	"Georgia"	"13"	59.14
"Total"	"Mar 26, 1999"	"1999/03/26"			59.14
	"Mar 27, 1999"	"1999/03/27"	"Georgia"	"13"	58.19
"Total"	"Mar 27, 1999"	"1999/03/27"			58.19
	"Mar 28, 1999"	"1999/03/28"	"Georgia"	"13"	65.90
"Total"	"Mar 28, 1999"	"1999/03/28"			65.90
	"Mar 29, 1999"	"1999/03/29"	"Georgia"	"13"	64.68
"Total"	"Mar 29, 1999"	"1999/03/29"			64.68
	"Mar 30, 1999"	"1999/03/30"	"Georgia"	"13"	67.26
"Total"	"Mar 30, 1999"	"1999/03/30"			67.26
	"Mar 31, 1999"	"1999/03/31"	"Georgia"	"13"	69.19
"Total"	"Mar 31, 1999"	"1999/03/31"			69.19
	"Apr 01, 1999"	"1999/04/01"	"Georgia"	"13"	74.19
"Total"	"Apr 01, 1999"	"1999/04/01"			74.19
	"Apr 02, 1999"	"1999/04/02"	"Georgia"	"13"	81.67
"Total"	"Apr 02, 1999"	"1999/04/02"			81.67
	"Apr 03, 1999"	"1999/04/03"	"Georgia"	"13"	82.83
"Total"	"Apr 03, 1999"	"1999/04/03"			82.83
	"Apr 04, 1999"	"1999/04/04"	"Georgia"	"13"	82.17
"Total"	"Apr 04, 1999"	"1999/04/04"			82.17
	"Apr 05, 1999"	"1999/04/05"	"Georgia"	"13"	83.86
"Total"	"Apr 05, 1999"	"1999/04/05"			83.86
	"Apr 06, 1999"	"1999/04/06"	"Georgia"	"13"	77.78
"Total"	"Apr 06, 1999"	"1999/04/06"			77.78
	"Apr 07, 1999"	"1999/04/07"	"Georgia"	"13"	83.53
"Total"	"Apr 07, 1999"	"1999/04/07"			83.53
	"Apr 08, 1999"	"1999/04/08"	"Georgia"	"13"	85.28
"Total"	"Apr 08, 1999"	"1999/04/08"			85.28
	"Apr 09, 1999"	"1999/04/09"	"Georgia"	"13"	84.64
"Total"	"Apr 09, 1999"	"1999/04/09"			84.64
	"Apr 10, 1999"	"1999/04/10"	"Georgia"	"13"	86.42
"Total"	"Apr 10, 1999"	"1999/04/10"			86.42
	"Apr 11, 1999"	"1999/04/11"	"Georgia"	"13"	85.25
"Total"	"Apr 11, 1999"	"1999/04/11"			85.25
	"Apr 12, 1999"	"1999/04/12"	"Georgia"	"13"	70.67
"Total"	"Apr 12, 1999"	"1999/04/12"			70.67
	"Apr 13, 1999"	"1999/04/13"	"Georgia"	"13"	68.12
"Total"	"Apr 13, 1999"	"1999/04/13"			68.12
	"Apr 14, 1999"	"1999/04/14"	"Georgia"	"13"	70.39
"Total"	"Apr 14, 1999"	"1999/04/14"			70.39
	"Apr 15, 1999"	"1999/04/15"	"Georgia"	"13"	78.70
"Total"	"Apr 15, 1999"	"1999/04/15"			78.70
	"Apr 16, 1999"	"1999/04/16"	"Georgia"	"13"	62.78
"Total"	"Apr 16, 1999"	"1999/04/16"			62.78
	"Apr 17, 1999"	"1999/04/17"	"Georgia"	"13"	62.10
"Total"	"Apr 17, 1999"	"1999/04/17"			62.10
	"Apr 18, 1999"	"1999/04/18"	"Georgia"	"13"	61.39
"Total"	"Apr 18, 1999"	"1999/04/18"			61.39
	"Apr 19, 1999"	"1999/04/19"	"Georgia"	"13"	67.60
"Total"	"Apr 19, 1999"	"1999/04/19"			67.60
	"Apr 20, 1999"	"1999/04/20"	"Georgia"	"13"	77.99
"Total"	"Apr 20, 1999"	"1999/04/20"			77.99
	"Apr 21, 1999"	"1999/04/21"	"Georgia"	"13"	81.91
"Total"	"Apr 21, 1999"	"1999/04/21"			81.91
	"Apr 22, 1999"	"1999/04/22"	"Georgia"	"13"	81.50
"Total"	"Apr 22, 1999"	"1999/04/22"			81.50
	"Apr 23, 1999"	"1999/04/23"	"Georgia"	"13"	85.52
"Total"	"Apr 23, 1999"	"1999/04/23"			85.52
	"Apr 24, 1999"	"1999/04/24"	"Georgia"	"13"	85.68
"Total"	"Apr 24, 1999"	"1999/04/24"			85.68
